t,theta_true,omega_true,theta_hat,omega_hat,theta_meas,omega_meas,forcing_d,u,error,pid_integral,pid_derivative,K00,K01,K10,K11,P00,P01,P10,P11,Q00,Q01,Q10,Q11,R00,R01,R10,R11
19.580000000000002,10.429717990784285,-0.012046415769281135,10.263809245967252,-0.5904396656444884,10.408338633736449,-0.06946260700544736,1.1833646428022035,-9.977835029157237,-0.2638092459672521,-6.818606064111971,0.10071987373390101,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.6,10.4294770624689,-0.0010609875537084309,10.262087856954494,-0.5850468674908145,10.416619749147548,0.07625495254245969,1.5222313543673918,-9.25525877631669,-0.2620878569544942,-6.823847821251061,0.0860694506378934,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.62,10.429455842717825,0.39063669574287085,10.265265289370518,-0.554460833351952,10.49319138058836,0.5017432273486535,20.577703553968284,-9.272587489520216,-0.2652652893705181,-6.829153127038471,-0.1588716208011931,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.64,10.437268576632682,0.4203813205965506,10.26796185624011,-0.5431736224500345,10.479150299956135,0.3735351825066121,3.052169288172376,-9.799549262346037,-0.2679618562401096,-6.834512364163273,-0.13482834347957606,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.66,10.445676203044613,1.0851625681551949,10.269007070972656,-0.4836218751197422,10.451439727476327,1.162635363704743,34.75080430524805,-9.783787613523522,-0.2690070709726555,-6.839892505582726,-0.05226073662729647,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.68,10.467379454407716,1.0591538773188625,10.271520751108758,-0.42956725466950446,10.458203445797574,1.0867436794903245,0.0950557462006646,-9.634484688563873,-0.27152075110875806,-6.845322920604901,-0.1256840068051268,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.7,10.488562531954093,1.031676923357777,10.275792172629732,-0.3869553405156533,10.472840650574557,1.005311183256785,0.08677754541024711,-9.811898445302734,-0.2757921726297319,-6.850838764057496,-0.21357107604869086,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.72,10.509196070421249,1.000777530303342,10.284655278273299,-0.3538784885803319,10.538989419024999,0.9539668329989734,0.033679704600407416,-10.035902642452196,-0.2846552782732985,-6.856531869622962,-0.44315528217833133,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.740000000000002,10.529211621027315,0.9608217776903192,10.287685134954195,-0.33569961921712277,10.44252375234627,0.8971946712563189,0.03434727340248843,-10.58939521671261,-0.2876851349541951,-6.862285572322046,-0.15149283404483072,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.76,10.548428056581121,0.9337244038026844,10.294989543746954,-0.29934320923510205,10.50974152502627,1.0390501528038991,0.0353613882019798,-10.042122589953658,-0.2949895437469543,-6.868185363196985,-0.3652204396379588,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
