Time,StepCount,look_ahead_distance_meter,prev_wp_x,prev_wp_y,next_wp_x,next_wp_y,os_x,os_y,final_heading_rad,chi_desired_rad,chi_desired_deg,last_wp_active
185,185,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-30.042213,-95.793199,0.000000,1.158270,66.363964,0
186,186,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-29.895757,-95.536788,0.000000,1.159084,66.410616,0
187,187,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-29.752168,-95.282169,0.000000,1.159858,66.454985,0
188,188,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-29.611319,-95.029275,0.000000,1.160595,66.497178,0
189,189,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-29.473084,-94.778039,0.000000,1.161295,66.537297,0
190,190,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-29.337340,-94.528392,0.000000,1.161961,66.575446,0
191,191,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-29.203963,-94.280263,0.000000,1.162594,66.611725,0
192,192,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-29.072832,-94.033584,0.000000,1.163196,66.646235,0
193,193,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-28.943826,-93.788285,0.000000,1.163769,66.679073,0
194,194,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-28.816831,-93.544298,0.000000,1.164315,66.710332,0
195,195,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-28.691730,-93.301553,0.000000,1.164835,66.740106,0
196,196,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-28.568413,-93.059986,0.000000,1.165330,66.768485,0
197,197,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-28.446772,-92.819530,0.000000,1.165802,66.795555,0
198,198,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-28.326702,-92.580120,0.000000,1.166253,66.821401,0
199,199,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-28.208101,-92.341696,0.000000,1.166685,66.846104,0
200,200,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-28.090871,-92.104195,0.000000,1.167097,66.869743,0
201,201,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-27.974917,-91.867559,0.000000,1.167492,66.892392,0
202,202,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-27.860151,-91.631731,0.000000,1.167872,66.914123,0
