Time,StepCount,q[1],q[2],q[3]
437,10925,-0.0060609,0.000451724,-1.06486e-05
438,10950,-0.000275698,0.000282594,-2.28079e-05
439,10975,0.00177572,0.000357339,-3.86499e-05
440,11000,0.00682826,0.000250685,-5.08869e-05
441,11025,0.0135252,0.000280456,-5.91106e-05
442,11050,0.0175962,0.00025448,-6.00525e-05
443,11075,0.0202093,0.000307828,-5.48478e-05
444,11100,0.0199758,0.000542075,-5.07104e-05
445,11125,0.0205946,0.000329859,-4.74092e-05
446,11150,0.016158,0.000383375,-4.30809e-05
447,11175,-0.002524,0.000605788,-4.32785e-05
448,11200,-0.0259516,0.000279526,-4.75464e-05
449,11225,-0.0462563,0.000338443,-5.35684e-05
450,11250,-0.0593391,0.000300747,-5.37181e-05
451,11275,-0.0605598,0.000146976,-4.5773e-05
452,11300,-0.0508566,0.000432157,-3.61348e-05
453,11325,-0.0383524,0.000486213,-2.62938e-05
454,11350,-0.0339481,0.000487806,-2.61842e-05
455,11375,-0.0428078,0.000517446,-4.08336e-05
456,11400,-0.0550232,0.000196192,-6.16851e-05
457,11425,-0.0539216,0.000228919,-8.31532e-05
458,11450,-0.0352728,0.000370918,-9.91256e-05
459,11475,-0.00552124,0.000184963,-0.000102796
460,11500,0.0237428,0.000353803,-0.000102308
461,11525,0.042423,0.000430314,-0.000100646
462,11550,0.0469716,0.000284601,-0.000101671
463,11575,0.0355964,0.000422356,-0.000107952
464,11600,0.0173759,0.00020627,-0.000114995
465,11625,-0.000430684,0.000167458,-0.000120304
466,11650,-0.01803,0.000352969,-0.000124478
467,11675,-0.026688,6.91568e-05,-0.000118923
468,11700,-0.0254314,0.000150802,-0.000109453
469,11725,-0.0230886,0.000226168,-9.46746e-05
470,11750,-0.0230757,0.00013634,-7.55916e-05
471,11775,-0.0295878,0.000294183,-6.15134e-05
472,11800,-0.0464067,0.000251107,-5.99232e-05
473,11825,-0.0694053,-1.95075e-05,-6.59983e-05
474,11850,-0.0861879,-6.44929e-05,-7.25199e-05
475,11875,-0.0824326,-9.00649e-05,-7.44498e-05
476,11900,-0.0567235,5.28791e-05,-7.20176e-05
477,11925,-0.0227883,0.000114614,-6.47078e-05
478,11950,0.00486148,5.78159e-05,-5.74392e-05
479,11975,0.0209118,0.000106151,-5.7282e-05
480,12000,0.0260613,5.43011e-05,-6.52894e-05
481,12025,0.0251512,-8.89208e-05,-7.52753e-05
482,12050,0.0173583,-9.19383e-06,-8.31783e-05
483,12075,0.00762788,-0.000191718,-8.2292e-05
484,12100,0.00236008,-2.17701e-05,-7.92054e-05
485,12125,0.00223794,0.000145632,-7.47548e-05
486,12150,0.0076601,-0.000143669,-6.30553e-05
487,12175,0.00834122,0.000110165,-4.80341e-05
488,12200,-0.00396393,0.000242304,-3.96269e-05
489,12225,-0.0249232,-7.35408e-05,-4.05365e-05
490,12250,-0.0488478,5.96074e-05,-4.56959e-05
491,12275,-0.0688074,-8.18034e-05,-4.61865e-05
492,12300,-0.0767833,-0.000203156,-4.27381e-05
493,12325,-0.0688282,3.2675e-05,-3.8358e-05
494,12350,-0.049559,3.68709e-05,-2.71798e-05
495,12375,-0.0312411,0.000179376,-1.86239e-05
496,12400,-0.0252785,0.000280944,-2.50244e-05
497,12425,-0.0286249,-7.6466e-05,-4.52529e-05
498,12450,-0.0294029,-6.67886e-05,-6.88468e-05
499,12475,-0.019542,1.72355e-05,-8.78259e-05
500,12500,0.00042355,-0.000133753,-9.75927e-05
501,12525,0.0207929,-2.6647e-06,-0.000103223
502,12550,0.0342112,-1.68054e-05,-0.000102045
503,12575,0.0372454,2.90712e-05,-9.89394e-05
504,12600,0.0301157,0.00012192,-0.000101458
505,12625,0.0204266,-0.000134072,-0.000106933
506,12650,0.00440168,-4.33079e-06,-0.000113119
507,12675,-0.0171912,-1.11861e-05,-0.000118851
508,12700,-0.0303757,-0.000262235,-0.000120094
509,12725,-0.0334648,-0.000136512,-0.000119662
510,12750,-0.0282374,-0.000271249,-0.000109629
511,12775,-0.0155554,-0.000217472,-9.27106e-05
512,12800,-0.00250526,7.37256e-06,-7.81506e-05
513,12825,0.002618,-7.88015e-05,-7.72549e-05
514,12850,-0.00213556,-0.000216372,-9.01226e-05
515,12875,-0.00619834,-0.000353294,-0.000106107
516,12900,0.00814157,-0.000449973,-0.000119299
517,12925,0.047778,-0.00023905,-0.000130056
518,12950,0.101823,-0.00030711,-0.000130031
519,12975,0.157459,-0.000321923,-0.000123258
520,13000,0.204929,-0.000101645,-0.000118853
521,13025,0.240677,-0.00024899,-0.000122732
522,13050,0.264938,-0.000308391,-0.000132016
523,13075,0.278669,-0.000240745,-0.00014086
524,13100,0.294025,-0.000503929,-0.000142737
525,13125,0.316895,-0.000226794,-0.000145314
526,13150,0.349511,-0.000245606,-0.000141576
527,13175,0.39306,-0.000459893,-0.000127594
528,13200,0.437486,-0.000128188,-0.000111103
529,13225,0.475066,-0.000164681,-9.71027e-05
530,13250,0.505523,-0.000279504,-9.02868e-05
531,13275,0.529953,-0.00012202,-9.06726e-05
532,13300,0.554457,-0.000381758,-9.21912e-05
533,13325,0.589408,-0.000435015,-9.37306e-05
534,13350,0.644446,-0.000333094,-9.2147e-05
535,13375,0.71997,-0.000286792,-8.30492e-05
536,13400,0.80249,-7.2276e-05,-7.3352e-05
537,13425,0.878023,-5.64628e-05,-7.24698e-05
538,13450,0.943672,-0.000250493,-8.39217e-05
539,13475,1.00466,-0.000186838,-0.000101178
540,13500,1.06972,-0.000273044,-0.000116223
